Rang,id,area_ha,area_km2,mean_suit,max_suit,annual_gwh,winter_gwh,gwh_per_ha,E_lv95,N_lv95
516,907,18.1,0.18,0.75,0.803,48.0,20.6,2.646,2733321,1144160
517,195,177.7,1.78,0.75,0.838,522.0,272.4,2.938,2806946,1189319
518,466,31.1,0.31,0.75,0.815,90.0,45.3,2.893,2798035,1173717
519,918,66.1,0.66,0.75,0.856,188.6,92.7,2.855,2767936,1142394
520,372,58.4,0.58,0.75,0.832,157.0,74.3,2.69,2785039,1178964
521,63,39.7,0.4,0.75,0.823,102.8,46.9,2.589,2782838,1202319
522,935,107.4,1.07,0.75,0.858,293.3,131.0,2.73,2733123,1140972
523,488,36.8,0.37,0.75,0.823,103.8,46.9,2.82,2727088,1172497
524,184,11.5,0.12,0.749,0.786,28.5,12.2,2.478,2774752,1190619
525,914,17.1,0.17,0.749,0.808,44.8,19.9,2.616,2758550,1143233
526,605,48.6,0.49,0.749,0.823,136.0,66.5,2.8,2757412,1165338
527,1006,22.4,0.22,0.749,0.815,61.2,28.0,2.737,2727243,1130462
528,248,226.7,2.27,0.749,0.849,626.3,307.8,2.763,2790694,1185219
529,324,20.7,0.21,0.749,0.815,59.3,29.3,2.864,2722237,1181882
530,497,38.8,0.39,0.749,0.833,109.0,51.5,2.809,2799278,1171815
531,460,19.6,0.2,0.749,0.819,51.3,23.7,2.613,2700994,1173994
532,896,48.4,0.48,0.749,0.81,132.4,60.4,2.737,2761592,1145058
533,309,11.8,0.12,0.749,0.803,30.2,13.3,2.561,2755735,1183014
534,315,34.6,0.35,0.749,0.85,93.0,43.7,2.685,2764907,1182444
535,1014,135.6,1.36,0.749,0.846,369.6,170.9,2.725,2809868,1127403
536,446,21.2,0.21,0.749,0.867,55.6,25.8,2.618,2763954,1174967
537,399,31.9,0.32,0.749,0.818,84.1,38.9,2.638,2781252,1177881
538,1114,169.8,1.7,0.749,0.846,503.0,263.8,2.963,2757784,1157888
539,204,218.9,2.19,0.749,0.835,597.3,267.6,2.728,2724251,1187589
540,930,10.5,0.1,0.749,0.834,27.9,12.3,2.661,2801009,1141777
541,1115,202.5,2.02,0.748,0.849,567.4,263.4,2.802,2759693,1157813
542,371,255.8,2.56,0.748,0.834,704.5,342.5,2.755,2771816,1177571
